,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Wind Speed,Max Temp,Temperature,Min Temp
316,hobyo,11,SO,1563759199,70,5.35,48.53,19.37,74.99,74.99,74.99
317,nichinan,75,JP,1563759199,94,31.65,131.31,2.24,82.99,79.25,77.0
318,longyan,92,CN,1563759199,84,25.1,117.03,4.54,76.43,76.43,76.43
319,taree,16,AU,1563759199,40,-31.91,152.46,5.82,69.8,69.37,69.01
320,bukama,0,CD,1563759200,42,-9.2,25.85,1.81,57.71,57.71,57.71
321,kabompo,0,ZM,1563759200,42,-13.6,24.21,5.3,47.63,47.63,47.63
322,zhangjiakou,100,CN,1563759200,70,40.77,114.88,8.32,61.31,61.31,61.31
323,hammerfest,0,NO,1563759201,72,70.66,23.68,10.29,64.4,64.4,64.4
324,springfield,20,US,1563759201,58,37.22,-93.29,4.7,89.01,84.22,81.0
325,yerbogachen,100,RU,1563759202,39,61.28,108.01,12.71,70.85,70.85,70.85
326,kayes,20,ML,1563759202,83,14.44,-11.44,9.17,77.0,77.0,77.0
327,warrnambool,1,AU,1563759202,50,-38.38,142.48,20.0,59.0,57.9,57.0
328,mastic beach,75,US,1563759202,79,40.8,-72.84,9.44,91.4,85.89,80.6
329,kazanskaya,95,RU,1563759203,90,45.41,40.44,6.44,63.47,63.47,63.47
330,mercedes,100,UY,1563759203,86,-33.25,-58.03,23.24,54.47,54.47,54.47
331,tomatlan,100,MX,1563759203,76,19.93,-105.25,4.85,80.57,80.57,80.57
332,lompoc,90,US,1563759116,87,34.64,-120.46,9.17,73.99,65.43,59.0
333,angoche,64,MZ,1563759204,69,-16.23,39.91,10.0,66.17,66.17,66.17
334,iralaya,40,HN,1563759204,74,15.0,-83.23,9.17,84.2,84.2,84.2
335,jalu,0,LY,1563759205,53,29.03,21.55,8.57,72.65,72.65,72.65
336,dali,96,CN,1563759205,66,34.79,109.94,3.85,81.29,81.29,81.29
337,leh,0,IN,1563759205,25,34.16,77.58,2.95,46.37,46.37,46.37
338,zhoucheng,20,CN,1563759206,75,31.35,119.33,6.71,89.6,89.6,89.6
339,abu samrah,75,JP,1563759161,79,34.51,131.49,4.7,84.2,77.34,75.2
340,cabra,0,ES,1563759206,57,37.47,-4.43,8.05,80.6,78.62,75.2
341,moron,13,HT,1563759206,81,18.56,-74.26,8.28,80.75,80.75,80.75
342,chernyshevskiy,0,RU,1563759207,35,63.01,112.47,9.89,74.99,74.99,74.99
343,opuwo,0,NA,1563758908,62,-18.06,13.84,0.4,47.73,47.73,47.73
344,westport,75,US,1563759183,79,41.14,-73.36,4.52,90.0,84.96,79.0
345,gweta,25,BW,1563759207,81,-20.21,25.26,12.41,47.99,47.99,47.99
346,abha,0,SA,1563759207,21,18.22,42.5,3.27,73.4,71.67,69.8
347,itaituba,41,BR,1563759208,89,-4.26,-55.99,1.54,71.93,71.93,71.93
348,sao filipe,11,IN,1563759208,75,20.51,76.21,9.84,81.47,81.47,81.47
349,luderitz,0,NA,1563759208,65,-26.65,15.16,5.82,57.71,57.71,57.71
350,sirohi,100,IN,1563759208,67,24.89,72.86,4.85,85.79,85.79,85.79
351,makakilo city,75,US,1563759209,54,21.35,-158.09,12.75,87.8,83.53,78.8
352,tilichiki,0,RU,1563759209,46,60.47,166.1,18.79,61.31,61.31,61.31
353,kudahuvadhoo,100,MV,1563759209,78,2.67,72.89,14.05,82.73,82.73,82.73
354,naze,85,NG,1563759210,98,5.43,7.07,4.23,72.29,72.29,72.29
355,oistins,40,BB,1563759210,78,13.07,-59.53,14.99,80.6,79.65,79.0
356,kysyl-syr,0,RU,1563759210,37,63.9,122.77,10.36,74.63,74.63,74.63
357,fortuna,1,US,1563759211,77,40.6,-124.16,13.87,64.0,62.2,60.8
358,marzuq,100,YE,1563759211,38,14.4,46.47,6.33,77.15,77.15,77.15
359,bur gabo,0,FI,1563759211,77,63.56,22.87,3.36,63.0,60.53,59.0
360,pachino,0,IT,1563759211,73,36.72,15.09,3.36,69.8,68.88,68.0
361,manacor,0,ES,1563759212,73,39.57,3.21,9.17,79.0,77.27,75.0
362,chern,0,RU,1563759212,90,53.45,36.91,0.83,58.97,58.97,58.97
363,dezful,0,IR,1563759212,11,32.38,48.4,2.68,94.25,94.25,94.25
364,tucuman,0,PE,1563759213,44,-17.17,-70.89,1.1,50.33,50.33,50.33
365,phalaborwa,0,ZA,1563759213,75,-23.95,31.14,3.36,44.6,44.6,44.6
366,ponta delgada,42,BR,1563759119,96,-0.53,-65.05,3.0,72.47,72.47,72.47
367,pokhara,52,NP,1563759213,79,28.21,83.99,3.15,64.37,64.37,64.37
368,longjiang,0,CN,1563759135,49,47.33,123.18,10.18,82.01,82.01,82.01
369,sorong,97,ID,1563758979,93,-0.86,131.25,8.46,76.71,76.71,76.71
370,saint-louis,0,SN,1563759214,78,16.03,-16.5,9.17,80.6,80.6,80.6
371,san quintin,77,ML,1563759002,83,13.3,-4.9,10.07,76.97,76.97,76.97
372,lovozero,16,RU,1563759214,58,68.01,35.02,1.79,64.19,64.19,64.19
373,vardo,90,US,1563758636,100,39.62,-77.74,12.75,81.0,75.07,71.01
374,insar,0,RU,1563759215,92,53.87,44.37,8.3,56.27,56.27,56.27
375,tessalit,40,ML,1563759215,32,20.2,1.01,21.52,91.19,91.19,91.19
376,ranong,20,TH,1563759215,83,9.96,98.62,14.97,84.2,84.2,84.2
377,tigzirt,1,DZ,1563759215,20,36.57,4.2,4.32,76.25,76.25,76.25
378,ballina,100,IE,1563759216,93,54.11,-9.15,11.99,66.0,64.49,63.0
379,nizhniy ufaley,20,RU,1563759216,93,45.39,39.24,8.95,64.4,63.84,63.0
380,kurilsk,1,RU,1563759216,84,45.23,147.88,13.85,56.99,56.99,56.99
381,tabou,95,CI,1563759217,92,4.42,-7.36,5.06,74.09,74.09,74.09
382,ancud,75,CL,1563759217,86,-41.87,-73.83,4.7,39.2,39.2,39.2
383,tirlyanskiy,98,RU,1563759217,92,54.22,58.58,5.64,56.45,56.45,56.45
384,yeppoon,90,AU,1563759218,53,-23.13,150.74,5.82,73.4,73.4,73.4
385,santa fe,100,PH,1563759218,78,17.49,120.43,4.41,81.47,81.47,81.47
386,matay,0,EG,1563759218,87,28.42,30.79,9.15,68.87,68.87,68.87
387,paka,100,CF,1563759219,98,4.15,15.03,1.81,65.63,65.63,65.63
388,airai,6,TL,1563759219,42,-8.93,125.41,4.41,81.83,81.83,81.83
389,klaksvik,100,FO,1563759220,100,62.23,-6.59,2.24,51.8,51.8,51.8
390,corum,0,TR,1563759220,77,38.8,29.89,7.0,55.0,55.0,55.0
391,panzhihua,100,CN,1563759220,78,26.59,101.72,1.59,75.17,75.17,75.17
392,bouloupari,75,NC,1563759221,49,-21.87,166.05,13.87,71.6,71.6,71.6
393,karpushikha,100,RU,1563759221,90,57.5,59.9,5.77,59.87,59.87,59.87
394,palatka,76,RU,1563759221,51,60.1,150.94,15.66,59.69,59.69,59.69
395,bambanglipuro,90,ID,1563759221,81,-7.95,110.28,14.07,76.07,76.07,76.07
396,harper,1,US,1563759222,40,30.3,-99.24,3.36,93.2,88.39,84.99
397,north myrtle beach,100,NG,1563759222,93,4.97,7.66,6.13,73.91,73.91,73.91
398,tyup,34,KG,1563759222,53,42.73,78.36,1.39,55.55,55.55,55.55
399,longyearbyen,75,NO,1563759222,81,78.22,15.63,20.8,44.6,44.6,44.6
400,sinjar,0,SY,1563759223,59,35.59,37.0,8.95,70.67,70.67,70.67
401,bambous virieux,20,MU,1563759223,88,-20.26,57.41,5.82,68.0,67.44,66.99
402,sao gabriel da cachoeira,11,IN,1563759223,75,20.51,76.21,9.84,81.47,81.47,81.47
403,muravlenko,0,RU,1563759223,32,63.79,74.5,4.21,72.65,72.65,72.65
404,fonte boa,20,BR,1563759224,88,-6.09,-35.39,9.17,73.4,73.4,73.4
405,yilan,100,CN,1563759224,88,43.11,129.52,5.44,72.11,72.11,72.11
406,nara,75,JP,1563759068,78,34.68,135.8,3.36,82.99,80.53,77.0
407,hoquiam,1,US,1563759224,56,46.98,-123.89,11.41,80.01,67.21,63.0
408,esna,0,RO,1563759225,59,45.2,27.57,4.36,68.33,68.33,68.33
409,tiznit,4,MA,1563759225,95,29.7,-9.73,2.26,66.53,66.53,66.53
410,port lincoln,0,CD,1563759164,48,-7.04,29.76,3.33,55.19,55.19,55.19
411,birin,75,NP,1563759226,88,26.89,88.07,1.12,78.8,78.8,78.8
412,quesnel,1,CA,1563759005,32,52.98,-122.49,5.82,80.6,80.6,80.6
413,nouadhibou,0,MR,1563759226,83,20.93,-17.03,16.11,69.8,69.8,69.8
414,trail,0,CA,1563759226,41,49.1,-117.71,5.99,73.0,73.0,73.0
415,alice springs,0,ZA,1563759199,16,-32.79,26.83,10.2,52.13,52.13,52.13
416,ballitoville,0,ZA,1563759227,76,-29.54,31.21,9.17,50.0,45.27,42.01
417,pervomayskiy,0,RU,1563759227,90,53.24,40.29,3.29,58.79,58.79,58.79
418,champerico,90,MX,1563759227,65,16.38,-93.6,10.29,82.4,82.4,82.4
419,bonfim,77,GY,1563759228,84,3.36,-59.84,7.36,76.25,76.25,76.25
420,djambala,27,CG,1563759228,75,-2.55,14.76,5.03,70.67,70.67,70.67
421,itacarambi,57,BR,1563759228,66,-15.1,-44.09,7.14,61.31,61.31,61.31
422,paso de carrasco,0,CR,1563759228,73,9.37,-84.02,11.41,75.0,72.88,70.0
423,kaohsiung,75,TW,1563759229,70,22.62,120.31,16.11,86.0,84.42,82.99
424,ouadda,96,CF,1563759229,97,8.07,22.4,4.38,65.99,65.99,65.99
425,inhambane,86,MZ,1563759230,76,-23.87,35.38,2.98,55.01,55.01,55.01
426,mocuba,22,MZ,1563759230,98,-16.84,36.99,3.71,56.81,56.81,56.81
427,awjilah,0,LY,1563759230,42,29.14,21.3,10.54,73.01,73.01,73.01
428,eregli,0,TR,1563759230,72,37.51,34.05,4.83,59.69,59.69,59.69
429,lincoln,40,US,1563759209,73,40.8,-96.67,18.34,73.4,72.07,71.01
430,saint-augustin,20,CA,1563759231,56,45.63,-73.98,5.82,77.0,75.29,72.0
431,tahoua,100,NE,1563759232,54,14.89,5.26,13.31,82.37,82.37,82.37
432,batagay,61,RU,1563759232,42,67.65,134.64,7.25,51.95,51.95,51.95
433,podor,0,MR,1563759232,55,16.65,-14.96,2.24,86.0,86.0,86.0
434,nishihara,75,JP,1563759232,100,35.74,139.53,4.7,75.99,73.06,71.01
435,charlestown,20,US,1563759233,74,41.38,-71.64,3.36,84.99,81.25,77.0
436,auki,100,NG,1563759233,84,12.18,6.51,14.14,74.09,74.09,74.09
437,kongolo,0,CD,1563759233,37,-5.39,27.0,2.37,66.89,66.89,66.89
438,morwell,0,AU,1563759233,62,-38.24,146.4,10.0,62.01,58.01,54.0
439,petropavlovsk-kamchatskiy,20,RU,1563759234,56,53.05,158.65,6.71,69.8,69.8,69.8
440,ouallam,92,NE,1563759234,49,14.32,2.08,4.9,87.05,87.05,87.05
441,jasrana,40,IN,1563759234,100,27.24,78.65,2.24,82.4,82.4,82.4
442,helsinki,0,FI,1563759234,93,60.17,24.94,4.7,61.0,58.82,55.99
443,pontes e lacerda,81,BR,1563759235,48,-7.27,-48.27,3.38,75.89,75.89,75.89
444,polson,1,US,1563759185,23,47.69,-114.16,6.93,84.2,79.66,75.99
445,sao joaquim,11,IN,1563759208,75,20.51,76.21,9.84,81.47,81.47,81.47
446,hoyanger,88,NO,1563759236,87,61.22,6.07,11.41,55.4,50.41,46.0
447,palizada,36,MX,1563759236,70,18.25,-92.09,9.62,80.39,80.39,80.39
448,tambo,14,PE,1563759236,90,-12.95,-74.02,1.59,41.15,41.15,41.15
449,iquique,90,CL,1563759237,72,-20.22,-70.14,10.29,60.8,60.8,60.8
450,praia da vitoria,0,BR,1563759237,72,-20.25,-43.81,3.36,60.8,58.91,57.2
451,llanes,26,ES,1563759237,96,43.42,-4.75,9.8,71.01,69.76,68.0
452,anadyr,90,RU,1563759237,87,64.73,177.51,15.66,51.8,51.39,51.01
453,eruwa,86,NG,1563759238,97,7.53,3.42,5.35,71.39,71.39,71.39
454,santa rosa,100,PH,1563759218,78,17.49,120.43,4.41,81.47,81.47,81.47
455,chubbuck,20,US,1563759006,16,42.93,-112.47,4.7,91.4,90.1,89.01
456,cedartown,1,US,1563759238,69,34.01,-85.26,3.53,84.99,79.61,73.99
457,sasina,0,BA,1563759238,88,44.8,16.74,2.24,68.0,68.0,68.0
458,san cristobal,77,ML,1563759239,83,13.3,-4.9,10.07,76.97,76.97,76.97
459,quzhou,44,CN,1563759239,59,28.97,118.86,1.9,93.71,93.71,93.71
460,alugan,94,PH,1563759239,48,12.22,125.48,3.65,93.89,93.89,93.89
461,council bluffs,1,US,1563759240,16,44.73,-116.44,7.14,84.2,84.2,84.2
462,armentieres,0,FR,1563759240,82,50.69,2.88,8.88,60.01,56.43,53.01
463,moa,0,CU,1563759241,92,20.66,-74.95,3.27,70.85,70.85,70.85
464,dimona,0,IL,1563759241,88,31.07,35.04,1.01,66.99,66.99,66.99
465,constitucion,75,MX,1563759241,45,23.99,-104.67,6.93,66.2,66.2,66.2
466,dalbandin,79,PK,1563759241,47,28.9,64.41,3.56,84.71,84.71,84.71
467,loandjili,75,CG,1563759242,94,-4.77,11.87,5.82,71.6,71.6,71.6
468,riyadh,0,SA,1563759242,14,24.63,46.72,4.7,82.4,82.4,82.4
469,prince albert,1,CA,1563759242,50,52.97,-108.38,6.93,75.2,74.52,73.99
470,moose factory,1,US,1563759243,23,43.66,-110.72,5.01,84.2,81.5,79.0
471,tricase,5,IT,1563759225,93,39.93,18.36,2.24,68.0,65.34,62.6
472,lexington,40,US,1563759238,88,38.05,-84.5,3.36,78.8,75.36,73.0
473,norilsk,0,RU,1563759243,46,69.35,88.2,6.71,69.8,69.8,69.8
474,mogwase,0,ZA,1563759244,69,-25.28,27.22,1.12,35.6,35.6,35.6
475,mahon,90,IE,1563759244,100,51.89,-8.4,16.11,64.0,63.34,62.6
476,lapua,5,FI,1563759244,93,62.97,23.01,1.12,54.0,52.81,50.0
477,palmer,0,AU,1563759244,47,-34.85,139.16,21.92,61.0,59.27,55.99
478,boa vista,100,CM,1563759245,85,4.43,8.97,8.7,77.15,77.15,77.15
479,port-cartier,20,CA,1563759245,82,50.03,-66.88,4.7,59.0,59.0,59.0
480,cayenne,0,GF,1563759155,94,4.94,-52.33,3.47,77.0,77.0,77.0
481,magdagachi,100,RU,1563759245,96,53.45,125.8,9.6,59.33,59.33,59.33
482,sarti,0,GR,1563759246,63,40.1,23.98,3.4,76.07,76.07,76.07
483,palanga,26,RO,1563759246,61,44.45,25.08,3.44,69.05,69.05,69.05
484,whitehorse,75,CA,1563759246,63,60.72,-135.06,2.24,69.01,67.35,66.0
485,ajdabiya,0,LY,1563759247,73,30.75,20.22,15.14,76.97,76.97,76.97
486,kasangulu,40,CD,1563759247,88,-4.59,15.17,5.88,71.6,71.6,71.6
